ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_protein_name,match_result,processing_time
SCRIB_HUMAN,Q14160,SCRIB,Protein scribble homolog,3,29,16,48,bin_5,472,59,Scribble protein,0,3.77
CHM2B_HUMAN,Q9UQN3,CHMP2B,Charged multivesicular body protein 2b,2,30,16,48,bin_5,234,58,Charged multivesicular body protein 2b,1,2.16
FZD5_HUMAN,Q13467,FZD5,Frizzled-5,8,29,11,48,bin_5,266,84,Frizzled-5,1,1.46
LEG3_HUMAN,P17931,LGALS3,Galectin-3,9,23,16,48,bin_5,6158,5926,Galectin-3,1,1.9
LIPL_HUMAN,P06858,LPL,Lipoprotein lipase,14,27,7,48,bin_5,8232,14357,Lipoprotein lipase,1,3.6
DGKQ_HUMAN,P52824,DGKQ,Diacylglycerol kinase theta ,8,27,13,48,bin_5,29,82,"Diacylglycerol kinase Q, cytoplasmic",0,2.24
AT1B1_HUMAN,P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,7,28,13,48,bin_5,206,5,Sodium/potassium-transporting ATPase subunit beta-1,1,1.86
HLAE_HUMAN,P13747,HLA-E,"Soluble HLA class I histocompatibility antigen, alpha chain E",6,29,13,48,bin_5,1260,72,Major histocompatibility complex class I-related protein E,0,1.17
THRB_HUMAN,P00734,F2,Thrombin heavy chain,7,33,8,48,bin_5,48978,380,Coagulation factor II (thrombin),0,0.32
OPRK_HUMAN,P41145,OPRK1,Kappa-type opioid receptor,4,30,14,48,bin_5,221,71,Kappa-type opioid receptor,1,0.52
B2L11_HUMAN,Q8WYM1,BCL2L11,Bcl-2-like protein 11,2,39,7,48,bin_5,1873,2041,Bcl-2-like protein 11,1,1.2
M3K5_HUMAN,Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,12,31,5,48,bin_5,783,35118,Mitogen-activated protein kinase kinase kinase 5,1,0.67
CALM2_HUMAN,Q96HK3,CALM2,Calmodulin-2 ,10,23,15,48,bin_5,140,87,Calmodulin 2,0,0.53
CREB3_HUMAN,O43889,CREB3,Processed cyclic AMP-responsive element-binding protein 3,14,22,12,48,bin_5,222,640,"Endoplasmic reticulum to nucleus signaling 1, transcript variant 1, CCAAT/enhancer-binding protein subfamily 3 gamma",0,5.77
KCC2D_HUMAN,Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,10,28,10,48,bin_5,198,49,Calcium/calmodulin-dependent protein kinase type II subunit delta,1,1.36
PDGFA_HUMAN,P04085,PDGFA,Platelet-derived growth factor subunit A,7,32,9,48,bin_5,1213,1254,Platelet-derived growth factor alpha polypeptide,0,8.44
SNF5_HUMAN,Q12824,SMARCB1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,5,25,18,48,bin_5,1724,1308,SWI/SNF complex subunit SMARCB1,0,1.54
RAB8A_HUMAN,P61006,RAB8A,Ras-related protein Rab-8A,6,18,24,48,bin_5,361,3,Ras-related protein Rab-8A,1,1.71
BMP6_HUMAN,P22004,BMP6,Bone morphogenetic protein 6,4,43,1,48,bin_5,1382,823,Bone morphogenetic protein 6,1,3.68
RAB5A_HUMAN,P20339,RAB5A,Ras-related protein Rab-5A,4,16,28,48,bin_5,380,5,Ras-related protein Rab-5A,1,1.0
CTNA1_HUMAN,P35221,CTNNA1,Catenin alpha-1 ,8,25,15,48,bin_5,733,6629,Catenin alpha-1,1,1.84
MSX2_HUMAN,P35548,MSX2,Homeobox protein MSX-2,7,36,5,48,bin_5,983,88,Homeobox protein Hox-C8,0,4.79
HLAA_HUMAN,Q9UQU7,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",8,22,19,49,bin_5,16828,870,MHC class 1 protein A,0,0.76
TBX20_HUMAN,Q9UMR3,TBX20,T-box transcription factor TBX20,6,40,3,49,bin_5,244,159,T-box protein TBX20,0,1.95
DNLI4_HUMAN,P49917,LIG4,DNA ligase 4 ,6,36,7,49,bin_5,657,4573,"DNA ligase IV, catalytic subunit",0,1.11
S26A6_HUMAN,Q9BXS9,SLC26A6,Solute carrier family 26 member 6,14,23,12,49,bin_5,282,175,Sulfate anion transporter SLC26A6,0,1.6
KCNA1_HUMAN,Q09470,KCNA1,Potassium voltage-gated channel subfamily A member 1 ,5,22,22,49,bin_5,472,354,Potassium voltage-gated channel subfamily A member 1,1,3.93
NCKPL_HUMAN,P55160,NCKAP1L,Nck-associated protein 1-like ,4,38,7,49,bin_5,41,5,NCK-associated protein 1-like protein,0,1.34
CXA5_HUMAN,P36382,GJA5,Gap junction alpha-5 protein,9,35,5,49,bin_5,665,605,Connexin-40,0,3.83
MYCD_HUMAN,Q8IZQ8,MYOCD,Myocardin,6,41,2,49,bin_5,217,1168,Smooth muscle myosin heavy chain,0,0.34
ARRB2_HUMAN,Q8N7Y2,ARRB2,Beta-arrestin-2,8,31,10,49,bin_5,658,1247,Beta-adrenergic receptor classifer protein 2,0,3.52
MT3_HUMAN,P25713,MT3,Metallothionein-3,6,30,13,49,bin_5,933,461,Metallothionein-3,1,0.65
MYOD1_HUMAN,P15172,MYOD1,Myoblast determination protein 1,15,28,6,49,bin_5,1762,3427,Myogenic differentiation protein 1,0,2.19
NEU1_HUMAN,P01178,OXT,Neurophysin 1,4,41,4,49,bin_5,1449,789,Oxytocin/neurophysin I preprohormone,0,1.42
NDP_HUMAN,Q00604,NDP,Norrin,3,43,3,49,bin_5,2094,194,Neuropilin-1,0,1.07
ERCC2_HUMAN,P18074,ERCC2,General transcription and DNA repair factor IIH helicase subunit XPD,8,31,10,49,bin_5,1370,6,ERCC excision repair cross-complementation group 2,0,1.63
CDK6_HUMAN,Q00534,CDK6,Cyclin-dependent kinase 6,5,34,10,49,bin_5,3984,2330,Cyclin-dependent kinase 6,1,0.37
NPT2A_HUMAN,Q06495,SLC34A1,Sodium-dependent phosphate transport protein 2A,4,33,12,49,bin_5,324,26,Sodium-phosphate transporter 2a,0,2.32
MRE11_HUMAN,P49959,MRE11,Double-strand break repair protein MRE11 ,9,29,11,49,bin_5,2336,1097,Double-strand break repair protein MRE11,1,0.99
DKK1_HUMAN,O94907,DKK1,Dickkopf-related protein 1,4,41,4,49,bin_5,3459,331,Dickkopf-1,0,3.84
NOS2_HUMAN,P35228,NOS2,"Nitric oxide synthase, inducible ",10,31,8,49,bin_5,14355,61550,"Nitric-oxide synthase, inducible",0,0.91
NMDZ1_HUMAN,Q5VSF5,GRIN1,"Glutamate receptor ionotropic, NMDA 1",10,23,16,49,bin_5,467,1814,"Glutamate receptor ionotropic, NMDA 1 subunit",0,1.91
SCRB1_HUMAN,Q8WTV0,SCARB1,Scavenger receptor class B member 1,13,27,9,49,bin_5,2104,0,Lysosomal protein SCARB1,0,0.7
SDF1_HUMAN,Q9H554,CXCL12,SDF-1-alpha(3-67),6,39,4,49,bin_5,10896,0,C-X-C motif chemokine ligand 12,0,2.66
TS101_HUMAN,Q99816,TSG101,Tumor susceptibility gene 101 protein,8,27,14,49,bin_5,1050,505,Tumor susceptibility protein 101,0,0.18
5HT2B_HUMAN,P41595,HTR2B,5-hydroxytryptamine receptor 2B,6,37,6,49,bin_5,196,1033,5-hydroxytryptamine receptor 2B,1,3.92
CHM1A_HUMAN,Q9HD42,CHMP1A,Charged multivesicular body protein 1a,5,26,18,49,bin_5,63,12,Charged multivesicular body protein 1a,1,2.36
CBP_HUMAN,Q92793,CREBBP,CREB-binding protein,18,23,8,49,bin_5,2384,14197,CREB-binding protein,1,1.74
IL33_HUMAN,O95760,IL33,Interleukin-33 (109-270),2,39,8,49,bin_5,5917,0,Interleukin-33,0,1.41
YBOX1_HUMAN,P67809,YBX1,Y-box-binding protein 1 ,11,22,16,49,bin_5,1260,1384,DNA-binding protein cold-shock domain protein A,0,1.59
ERCC6_HUMAN,IILSGSPMQN,ERCC6,DNA excision repair protein ERCC-6,9,34,6,49,bin_5,510,5,"Exonuclease ERC6, DNA repair protein",0,0.95
S10A9_HUMAN,P06702,S100A9,Protein S100-A9,8,29,12,49,bin_5,2483,87,Protein S100 calcium-binding protein A9,0,3.4
CITE1_HUMAN,Q99966,CITED1,Cbp/p300-interacting transactivator 1,5,40,4,49,bin_5,206,80,Cbp/p300-associated protein 1,0,1.52
CAN3_HUMAN,P20807,CAPN3,Calpain-3 ,11,29,9,49,bin_5,471,417,Calpain-3,1,2.53
SPI1_HUMAN,P17947,SPI1,Transcription factor PU.1 ,17,28,4,49,bin_5,1424,1426,Spleen focus-forming protein 1,0,1.35
MOES_HUMAN,P26038,MSN,Moesin ,7,20,22,49,bin_5,17269,2000,Moesin,1,3.56
SOX11_HUMAN,P35716,SOX11,Transcription factor SOX-11,5,40,4,49,bin_5,713,969,Transcription factor SOX-11,1,1.85
FXR1_HUMAN,P51114,FXR1,RNA-binding protein FXR1 ,8,24,17,49,bin_5,289,236,FMR1 autosomal-related protein 1,0,1.47
WNT7B_HUMAN,P56706,WNT7B,Protein Wnt-7b,3,39,7,49,bin_5,457,33,Protein Wnt-7b,1,0.9
NOD1_HUMAN,LNEQGETIFI,NOD1,Nucleotide-binding oligomerization domain-containing protein 1 ,9,35,6,50,bin_5,1437,1142,Nucleotide-binding oligomerization domain-containing protein 1,1,4.37
BCL3_HUMAN,P20749,BCL3,B-cell lymphoma 3 protein,5,34,11,50,bin_5,889,343,B-cell lymphoma/leukemia 3 protein,0,1.0
DCTN1_HUMAN,Q9UIU1,DCTN1,Dynactin subunit 1,4,23,23,50,bin_5,343,1149,Dynactin subunit 1,1,1.49
CHM2A_HUMAN,O43633,CHMP2A,Charged multivesicular body protein 2a,2,32,16,50,bin_5,78,15,Charged multivesicular body protein 2a,1,0.39
IL6RB_HUMAN,P40189,IL6ST,Interleukin-6 receptor subunit beta ,12,25,13,50,bin_5,1284,2540,Gp130,0,4.48
CYFP1_HUMAN,Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1,4,25,21,50,bin_5,196,33,Cytoplasmic FMR1-interacting protein 1,1,1.75
BIRC2_HUMAN,Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2,11,33,6,50,bin_5,368,54533,Baculoviral IAP repeat-containing protein 2,1,1.22
KPCA_HUMAN,P17252,PRKCA,Protein kinase C alpha type,10,29,11,50,bin_5,1450,848,Protein kinase C alpha type,1,0.45
CCL19_HUMAN,Q99731,CCL19,C-C motif chemokine 19,5,43,2,50,bin_5,1648,0,"Eosinophil chemotactic protein 1, C-C motif ligand 19",0,4.02
NR1D1_HUMAN,P20393,NR1D1,Nuclear receptor subfamily 1 group D member 1,12,31,7,50,bin_5,764,604,Receptor protein NR1D1,0,2.83
NQO1_HUMAN,P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1,7,37,6,50,bin_5,6046,4581,"NAD(P)H dehydrogenase (quinone) 1, NAD(P)H dehydrogenase quinone 1",0,4.47
FLCN_HUMAN,Q8NFG4,FLCN,Folliculin ,4,36,10,50,bin_5,610,597,Folliculin,1,0.66
CHMP3_HUMAN,Q9Y3E7,CHMP3,Charged multivesicular body protein 3,5,29,16,50,bin_5,81,78,Charged multivesicular body protein 3,1,0.7
PRGC1_HUMAN,Q4W5M7,PPARGC1A,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,12,33,5,50,bin_5,4486,5539,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,1,0.45
HDAC3_HUMAN,O15379,HDAC3,Histone deacetylase 3,14,27,9,50,bin_5,1998,1307,Histone deacetylase 3,1,0.24
RUVB1_HUMAN,Q9Y265,RUVBL1,RuvB-like 1 ,9,24,17,50,bin_5,286,55,RuvB-like NTPase 1,0,3.82
PP2BB_HUMAN,P16298,PPP3CB,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,8,33,9,50,bin_5,82,1,Serine/threonine-protein phosphatase PP2B beta catalytic subunit,0,1.44
CRYAB_HUMAN,P02511,CRYAB,Alpha-crystallin B chain,9,24,17,50,bin_5,710,1020,Crystallin alpha B chain,0,3.47
CADH5_HUMAN,P33151,CDH5,Cadherin-5 ,10,29,11,50,bin_5,424,1953,"Cadherin 5, type 2, VE-cadherin (vascular endothelial cadherin)",0,2.08
ADAM8_HUMAN,P78325,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,8,30,12,50,bin_5,316,45,Disintegrin and metalloproteinase domain-containing protein 8,1,4.13
VINC_HUMAN,P18206,VCL,Vinculin,8,17,25,50,bin_5,1514,4416,Vinculin,1,4.08
P2RY1_HUMAN,P47900,P2RY1,P2Y purinoceptor 1,9,30,11,50,bin_5,574,3523,P2Y-purinoceptor 1,0,0.48
OSTCN_HUMAN,P02818,BGLAP,Osteocalcin,5,37,8,50,bin_5,664,21696,Osteocalcin,1,4.73
ACHA7_HUMAN,P36544,CHRNA7,Neuronal acetylcholine receptor subunit alpha-7,9,33,8,50,bin_5,2003,233,Neuronal acetylcholine receptor subunit alpha-7,1,2.63
E2AK3_HUMAN,Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,9,34,7,50,bin_5,735,215,Eukaryotic translation initiation factor 2 alpha kinase 3,0,3.16
DNRIVLNGID,O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,4,34,12,50,bin_5,1815,2,O-Linked-N-Acetylglucosamine Transferase,0,1.44
S22A1_HUMAN,O15245,SLC22A1,Solute carrier family 22 member 1 ,18,25,7,50,bin_5,431,827,Sodium-dependent organic cation transporter 1,0,0.84
PCNA_HUMAN,P12004,PCNA,Proliferating cell nuclear antigen,13,22,15,50,bin_5,26193,20333,Proliferating cell nuclear antigen,1,1.75
TSPO_HUMAN,P30536,TSPO,Translocator protein,5,38,7,50,bin_5,2125,410608,Peripheral-type benzodiazepine receptor,0,0.24
AGO2_HUMAN,Q9UKV8,AGO2,Protein argonaute-2 ,15,23,13,51,bin_5,2247,723,Argonaute 2,0,1.93
GREM1_HUMAN,O60565,GREM1,Gremlin-1,7,41,3,51,bin_5,634,226,Cerberus-binding protein 1,0,0.99
ABCA2_HUMAN,Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2 ,8,33,10,51,bin_5,148,577,ATP-binding cassette sub-family A member 2,1,0.92
IL4_HUMAN,P05112,IL4,Interleukin-4,3,46,2,51,bin_5,53565,31622,Interleukin-4,1,2.54
HMOX1_HUMAN,P09601,HMOX1,Heme oxygenase 1 soluble form ,7,35,9,51,bin_5,6260,31,Heme oxygenase 1,0,0.52
SKI_HUMAN,P12755,SKI,Ski oncogene,11,31,9,51,bin_5,5233,565,SNAI1-interacting protein 1,0,0.74
VAMP2_HUMAN,P63027,VAMP2,Vesicle-associated membrane protein 2 ,7,19,25,51,bin_5,1225,743,Vesicle-associated membrane protein 2,1,5.14
CCL2_HUMAN,P13500,CCL2,C-C motif chemokine 2,5,44,2,51,bin_5,21993,0,Monocyte chemoattractant protein 1,0,4.33
CD3E_HUMAN,P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,6,34,11,51,bin_5,583,415,Epsilon chain of CD3 antigen T-cell receptor complex,0,4.02
AT2A2_HUMAN,P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 ,9,32,10,51,bin_5,1016,7549,Sarcoplasmic reticulum calcium-transporting ATPase 2,0,3.5
IL1A_HUMAN,P01583,IL1A,Interleukin-1 alpha,3,43,5,51,bin_5,1808,6337,Interleukin-1 alpha,1,1.76
ITCH_HUMAN,Q9BY75,ITCH,E3 ubiquitin-protein ligase Itchy homolog,8,31,12,51,bin_5,33778,13,E3 ubiquitin-protein ligase ITCH,0,0.31
ACL6A_HUMAN,O96019,ACTL6A,Actin-like protein 6A,2,34,15,51,bin_5,108,30,Actin-like protein 6A,1,2.53
VPS54_HUMAN,Q9P1Q0,VPS54,Vacuolar protein sorting-associated protein 54,1,40,10,51,bin_5,71,3,Vacuolar protein sorting-associated protein 54 homolog,0,0.33
SC6A3_HUMAN,Q01959,SLC6A3,Sodium-dependent dopamine transporter,12,25,14,51,bin_5,1872,55,Dopamine transporter,0,1.81
FERM2_HUMAN,Q96AC1,FERMT2,Fermitin family homolog 2,7,30,14,51,bin_5,127,16,Fermitin family member 2,0,0.32
ENPP1_HUMAN,P22413,ENPP1,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form ",19,26,6,51,bin_5,692,3,Ectonucleotide pyrophosphatase/phosphodiesterase 1,0,0.28
RAF1_HUMAN,P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase ,8,35,8,51,bin_5,3929,17655,Raf-1,0,0.56
ACTN2_HUMAN,P35609,ACTN2,Alpha-actinin-2,14,20,17,51,bin_5,228,169,Alpha-actinin-2,1,0.34
SLIT2_HUMAN,O94813,SLIT2,Slit homolog 2 protein C-product,8,38,5,51,bin_5,732,0,Slit protein 2 homolog,0,3.48
TNR16_HUMAN,P08138,NGFR,Tumor necrosis factor receptor superfamily member 16,10,27,14,51,bin_5,1875,535,Nerve growth factor receptor,0,3.47
STK4_HUMAN,Q13043,STK4,Serine/threonine-protein kinase 4 18kDa subunit,9,36,6,51,bin_5,410,1,Serine/threonine kinase 4,0,0.2
PO4F1_HUMAN,Q01851,POU4F1,"POU domain, class 4, transcription factor 1 ",10,35,6,51,bin_5,266,324,"POU domain, class 4, transcription factor 1",1,0.82
SMAD6_HUMAN,O43541,SMAD6,Mothers against decapentaplegic homolog 6,12,30,9,51,bin_5,677,3759,Mad protein homolog 6,0,1.25
GSTP1_HUMAN,P09211,GSTP1,Glutathione S-transferase P ,8,32,11,51,bin_5,4398,46980,Glutathione S-transferase pi 1,0,0.55
RAB7A_HUMAN,P51149,RAB7A,Ras-related protein Rab-7a ,6,25,20,51,bin_5,225,19,Ras-related protein Rab-7a,1,3.1
HIP1R_HUMAN,O75146,HIP1R,Huntingtin-interacting protein 1-related protein,13,21,17,51,bin_5,114,31,Huntingtin-interacting protein 1-related protein,1,2.65
PK3CB_HUMAN,P42338,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",7,34,10,51,bin_5,343,64,p85-beta subunit of phosphatidylinositol 3-kinase,0,0.45
FKRP_HUMAN,Q9H9S5,FKRP,Ribitol 5-phosphate transferase FKRP ,5,38,8,51,bin_5,318,11,Fukutin-related protein,0,0.68
EGR1_HUMAN,P18146,EGR1,Early growth response protein 1 ,14,33,4,51,bin_5,6343,3802,"Zinc finger protein ZBTB1, EGR-1",0,1.51
NEP_HUMAN,SVARLIRQEE,MME,Neprilysin ,9,24,19,52,bin_5,2663,7232,Neprilysin,1,2.19
MIF_HUMAN,P14174,MIF,Macrophage migration inhibitory factor ,7,34,11,52,bin_5,6834,5631,Macrophage migration inhibitory factor,1,0.23
GLI2_HUMAN,P10070,GLI2,Zinc finger protein GLI2 ,7,37,8,52,bin_5,1559,923,Glioma-associated protein Gli2,0,0.37
NBN_HUMAN,O60934,NBN,Nibrin ,6,33,13,52,bin_5,1888,159,Nibrin,1,2.7
AT1A1_HUMAN,Q9UJ21,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,10,22,20,52,bin_5,611,7,Sodium/potassium-transporting ATPase subunit alpha-1,1,0.4
PLAK_HUMAN,P14923,JUP,Junction plakoglobin,10,22,20,52,bin_5,514,2498,Zonula occludens protein 1,0,2.32
ARF_HUMAN,Q8N726,CDKN2A,Tumor suppressor ARF ,8,38,6,52,bin_5,14563,1930,Cyclin-dependent kinase inhibitor 2A,0,5.42
PRIC1_HUMAN,Q96MT3,PRICKLE1,Prickle-like protein 1,2,45,5,52,bin_5,140,1,"Prickle homolog 1, Drosophila",0,0.76
VNLDGEVIGV,O43464,HTRA2,"Serine protease HTRA2, mitochondrial",7,33,12,52,bin_5,685,372,HtrA2 protein,0,4.05
RAN_HUMAN,Q9CWI7,RAN,GTP-binding nuclear protein Ran,12,21,19,52,bin_5,30560,1465,Ras-related GTP-binding protein RAN-1,0,0.81
PTPRJ_HUMAN,Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,9,36,7,52,bin_5,246,1,Receptor-type tyrosine-protein phosphatase J,0,3.97
NMDE1_HUMAN,Q12879,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A ",5,34,13,52,bin_5,489,187,"Glutamate receptor ionotropic, NMDA 2A subunit",0,0.43
ADRB2_HUMAN,Q9UHA1,ADRB2,Beta-2 adrenergic receptor,8,32,12,52,bin_5,1183,9952,Beta-2 adrenergic receptor,1,0.68
STX4_HUMAN,Q12846,STX4,Syntaxin-4,3,24,25,52,bin_5,84,3106,Vesicle transport protein Sec1 homolog 4,0,2.75
TAF1_HUMAN,Q70Q87,TAF1,Transcription initiation factor TFIID subunit 1 ,19,27,6,52,bin_5,412,73,RNA polymerase II-associated protein 1,0,2.31
FURIN_HUMAN,P09958,FURIN,Furin ,11,30,11,52,bin_5,3977,3977,Furin,1,1.52
CREB1_HUMAN,P16220,CREB1,Cyclic AMP-responsive element-binding protein 1,9,37,6,52,bin_5,3245,7304,cAMP-responsive element-binding protein 1,0,1.13
ITB2_HUMAN,P05107,ITGB2,Integrin beta-2,8,28,16,52,bin_5,517,2190,Integrin subunit beta-2,0,1.15
TBX5_HUMAN,Q99593,TBX5,T-box transcription factor TBX5,7,39,7,53,bin_5,1062,526,T-box transcription factor TBX5,1,6.37
P2RX4_HUMAN,Q99571,P2RX4,P2X purinoceptor 4,9,34,10,53,bin_5,336,3044,P2X receptor P2X4,0,1.49
KPCI_HUMAN,P41743,PRKCI,Protein kinase C iota type,7,28,18,53,bin_5,127,111,Protein kinase C iota type,1,5.03
GPX1_HUMAN,P07203,GPX1,Glutathione peroxidase 1 ,3,46,4,53,bin_5,3046,2423,Glutathione peroxidase 1,1,2.4
LRP5_HUMAN,O75197,LRP5,Low-density lipoprotein receptor-related protein 5 ,3,45,5,53,bin_5,1639,911,Low-density lipoprotein receptor-related protein 5,1,2.38
NLRP3_HUMAN,Q5JQS8,NLRP3,"NACHT, LRR and PYD domains-containing protein 3 ",15,27,11,53,bin_5,20223,12549,"NACHT, LRR and PYD domains-containing protein 3, mitochondrial",0,5.17
TIE2_HUMAN,CKLRCSCNNG,TEK,Angiopoietin-1 receptor,6,34,13,53,bin_5,2195,1558,Tie-2 receptor tyrosine kinase,0,0.98
RUNX2_HUMAN,Q13950,RUNX2,Runt-related transcription factor 2,9,38,6,53,bin_5,11362,3697,Runt-related transcription factor 2,1,1.65
TBA1A_HUMAN,Q71U36,TUBA1A,Detyrosinated tubulin alpha-1A chain,8,33,12,53,bin_5,238,0,Tubulin alpha-1a chain,0,1.73
FGF9_HUMAN,P31371,FGF9,Fibroblast growth factor 9,3,47,3,53,bin_5,803,494,Fibroblast growth factor 9,1,0.76
NKX21_HUMAN,P43699,NKX2-1,Homeobox protein Nkx-2.1,9,40,4,53,bin_5,1760,1435,Homeobox protein NKX-2.1,1,1.17
BCL10_HUMAN,O95999,BCL10,B-cell lymphoma/leukemia 10,10,32,11,53,bin_5,823,5168,Caspase recruitment domain-containing protein 15,0,0.46
NODAL_HUMAN,Q96S42,NODAL,Nodal homolog,4,48,1,53,bin_5,58639,278,Nodal protein,0,2.21
NRAM1_HUMAN,P49279,SLC11A1,Natural resistance-associated macrophage protein 1 ,6,39,8,53,bin_5,381,843,Natural resistance-associated macrophage protein 1,1,1.36
NR1H3_HUMAN,Q13133,NR1H3,Oxysterols receptor LXR-alpha,10,36,7,53,bin_5,1258,3526,Oxysterols receptor LXR-beta,0,1.02
NTRK2_HUMAN,Q16620,NTRK2,BDNF/NT-3 growth factors receptor,6,35,12,53,bin_5,1219,154,Neurotrophic tyrosine kinase receptor type 2,0,0.42
DINTKPKKEN,P55011,SLC12A2,Solute carrier family 12 member 2,8,29,16,53,bin_5,723,833,Solute carrier family 12 member 2,1,6.15
BIRC5_HUMAN,Q9P2W8,BIRC5,Baculoviral IAP repeat-containing protein 5,13,22,18,53,bin_5,5902,10483,Baculoviral IAP repeat-containing protein 5,1,0.45
NEDD4_HUMAN,CQININGELE,NEDD4,E3 ubiquitin-protein ligase NEDD4,10,31,13,54,bin_5,1682,1239,E3 ubiquitin-protein ligase NEDD4,1,3.99
ANAG_HUMAN,P54802,NAGLU,Alpha-N-acetylglucosaminidase 77 kDa form,1,50,3,54,bin_5,250,1,N-acetyl-alpha-glucosaminidase,0,8.75
FER_HUMAN,P16591,FER,Tyrosine-protein kinase Fer,6,38,10,54,bin_5,4554,242,Fer tyrosine kinase,0,3.16
SYT1_HUMAN,P21579,SYT1,Synaptotagmin-1 ,14,20,20,54,bin_5,776,1324,Synaptotagmin-1,1,1.38
SYT11_HUMAN,Q9BT88,SYT11,Synaptotagmin-11 ,9,20,25,54,bin_5,63,2192,Synaptotagmin-11,1,3.1
CSF1_HUMAN,P09603,CSF1,Macrophage colony-stimulating factor 1 43 kDa subunit ,5,41,8,54,bin_5,3064,0,Macrophage colony-stimulating factor 1 beta chain,0,0.57
LAT1_HUMAN,Q01650,SLC7A5,Large neutral amino acids transporter small subunit 1,9,33,12,54,bin_5,958,20,"Large neutral amino acids transporter small subunit 1, light chain",0,1.08
WNK1_HUMAN,Q6IFS5,WNK1,Serine/threonine-protein kinase WNK1 ,8,39,7,54,bin_5,639,464,Serine/threonine-protein kinase WNK1,1,2.42
LEG9_HUMAN,O00182,LGALS9,Galectin-9,5,44,5,54,bin_5,616,1064,Galectin-9,1,4.93
MERL_HUMAN,Q9BTW3,NF2,Merlin,2,33,19,54,bin_5,3212,4051,Neuronal precursor cell exoprotein protein 2,0,2.5
1433E_HUMAN,P62258,YWHAE,14-3-3 protein epsilon,19,26,9,54,bin_5,377,349,14-3-3 epsilon,0,0.28
SNAI2_HUMAN,O43623,SNAI2,Zinc finger protein SNAI2,9,41,4,54,bin_5,1091,150,"Snail homolog 2, zinc finger protein",0,5.53
FLOT1_HUMAN,O75955,FLOT1,Flotillin-1,2,26,26,54,bin_5,141,862,Flotillin-1,1,0.51
GELS_HUMAN,P06396,GSN,Gelsolin,6,31,17,54,bin_5,839,2732,Gelsolin,1,1.32
ANK3_HUMAN,Q12955,ANK3,Ankyrin-3 ,7,25,22,54,bin_5,416,60,Ankyrin-3,1,0.33
RAB3A_HUMAN,P20336,RAB3A,Ras-related protein Rab-3A,5,30,19,54,bin_5,681,7,Ras-related protein Rab-3A,1,0.54
SDCB1_HUMAN,O00560,SDCBP,Syntenin-1,14,19,21,54,bin_5,172,264,"Spectrin beta chain, brain-associated protein",0,2.93
TSC1_HUMAN,Q92574,TSC1,Hamartin ,5,35,14,54,bin_5,2713,1421,Hamartin,1,2.5
DMD_HUMAN,Q02295,DMD,Dystrophin,8,28,18,54,bin_5,11780,9967,Dystrophin,1,1.89
DNM1L_HUMAN,Q7L6B3,DNM1L,Dynamin-1-like protein,10,28,16,54,bin_5,1557,122,Dynamin-1-like protein,1,4.0
VPS4B_HUMAN,O75351,VPS4B,Vacuolar protein sorting-associated protein 4B ,5,35,14,54,bin_5,127,9,Vacuolar protein sorting-associated protein 4B subunit B,0,0.67
PHB2_HUMAN,Q99623,PHB2,Prohibitin-2,6,32,16,54,bin_5,1221,238,"Projectin, actin-binding protein 2",0,2.62
SC6A4_HUMAN,P31645,SLC6A4,Sodium-dependent serotonin transporter,13,31,10,54,bin_5,4849,8159,Sodium- and chloride-dependent serotonin transporter,0,0.78
TYY1_HUMAN,P25490,YY1,Transcriptional repressor protein YY1,15,31,8,54,bin_5,2452,1817,Trans-acting transcription factor 1,0,1.6
CHM4B_HUMAN,Q9H444,CHMP4B,Charged multivesicular body protein 4b,3,31,20,54,bin_5,161,18,Charged multivesicular body protein 4b,1,4.01
